Geneid	Geneid	19_4_WT_SN_1_	20_4_WT_SN_1_	26_4_WT_SN_1_	18_4_SN_1_	19_4_WT_ON_	20_4_WT_ON_	18_4_ON_	26_4_WT_ON_	SPF_8w_F_2	SPF_8w_F_5	SPF_8w_F_4	SPF_8w_F_3	SPF_8w_F_1
ERCC-00168	ERCC-00168	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00170	ERCC-00170	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00171	ERCC-00171	0	0	0	0	0	0	0	0	0	0	0	0	0
4933401J01Rik	4933401J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26206	Gm26206	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4	Xkr4	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18956	Gm18956	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37180	Gm37180	0	0	0	0	2	20	20	39	0	13	6	0	3
Gm37363	Gm37363	0	0	0	0	0	0	0	1	0	10	0	0	0
Gm37686	Gm37686	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1992	Gm1992	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37329	Gm37329	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7341	Gm7341	2	0	1	0	0	0	1	0	0	1	0	1	1
Gm38148	Gm38148	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19938	Gm19938	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10568	Gm10568	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38385	Gm38385	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27396	Gm27396	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381	Gm37381	0	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	Rp1	0	0	0	13	0	0	0	0	16	21	12	18	13
Gm6101	Gm6101	0	0	0	1	0	0	1	0	0	0	0	0	0
Gm37483	Gm37483	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	Sox17	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37587	Gm37587	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7357	Gm7357	0	0	1	1	0	0	0	0	2	0	0	0	1
Gm22307	Gm22307	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38076	Gm38076	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37323	Gm37323	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7369	Gm7369	1	0	0	1	0	0	0	0	0	0	1	1	0
Gm6085	Gm6085	5	4	4	6	6	6	2	4	28	3	4	3	6
Gm6119	Gm6119	0	0	0	1	2	0	0	0	0	22	0	0	0
Gm25493	Gm25493	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053	Gm2053	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6123	Gm6123	3	6	1	2	3	2	6	2	2	5	11	10	1
Mrpl15	Mrpl15	685	490	471	855	1058	951	676	700	867	1452	1169	1316	1595
Gm37144	Gm37144	0	0	0	1	0	0	3	0	8	32	0	2	0
Lypla1	Lypla1	802	906	788	952	1108	813	1001	739	597	1124	1080	1689	1535
Gm37988	Gm37988	0	1	0	0	0	0	0	0	0	0	0	0	0
Tcea1	Tcea1	319	339	339	342	390	428	457	250	312	560	397	513	457
Gm6104	Gm6104	0	0	0	1	1	0	0	0	0	0	0	0	3
Gm37277	Gm37277	0	0	0	2	0	0	0	0	4	0	0	0	0
Rgs20	Rgs20	0	0	8	6	0	0	0	0	0	0	1	1	0
Gm17100	Gm17100	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37079	Gm37079	0	0	0	0	5	0	0	0	0	0	0	2	0
Gm16041	Gm16041	1	0	0	0	0	0	0	0	0	0	0	0	0
Gm17101	Gm17101	0	0	0	5	0	0	0	0	0	0	0	0	0
Atp6v1h	Atp6v1h	4179	3744	3017	3954	3172	2770	2446	1674	721	2051	2889	3737	2641
Gm7182	Gm7182	0	0	0	2	4	0	0	0	0	0	0	1	0
Gm37567	Gm37567	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38264	Gm38264	0	0	0	0	0	0	0	0	0	0	0	0	0
Oprk1	Oprk1	0	0	0	1	0	0	0	0	0	2	0	0	0
Gm36965	Gm36965	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	Gm22463	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429	Gm37429	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19214	Gm19214	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	Rb1cc1	414	604	879	817	808	633	311	696	1147	1440	1095	1559	1238
4732440D04Rik	4732440D04Rik	75	111	25	27	147	88	1	48	80	199	148	94	230
Fam150a	Fam150a	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2147	Gm2147	0	0	0	1	0	0	1	0	0	0	0	0	0
Gm7417	Gm7417	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19026	Gm19026	0	0	0	0	0	0	0	0	0	1	3	1	1
St18	St18	0	0	0	9	0	0	0	0	0	0	2	0	0
Gm42492	Gm42492	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7449	Gm7449	0	0	1	4	0	2	0	1	0	2	0	0	1
Gm37108	Gm37108	1	1	1	1	2	0	2	2	3	2	0	0	0
Gm37275	Gm37275	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225	Gm37225	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489	Gm37489	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694	Gm5694	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	Pcmtd1	430	567	455	924	678	368	190	487	332	532	916	1162	693
Gm26983	Gm26983	0	0	0	3	0	0	1	0	0	2	0	0	0
Gm38372	Gm38372	0	0	0	0	4	0	0	13	2	18	0	0	15
Gm9826	Gm9826	0	3	1	0	0	0	0	0	0	0	0	0	0
Nras-ps2	Nras-ps2	0	0	0	2	0	0	0	0	0	0	0	0	0
Gm23274	Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002	Gm19002	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	Gm26901	4	0	0	5	1	5	2	0	1	0	0	0	0
Gm18984	Gm18984	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm30414	Gm30414	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37791	Gm37791	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470	Gm7470	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	Rps2-ps2	0	1	0	0	0	0	0	0	0	0	0	2	0
Gm38216	Gm38216	0	0	0	0	1	0	0	0	0	0	0	0	0
Sntg1	Sntg1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38024	Gm38024	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16284	Gm16284	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38259	Gm38259	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm23358	Gm23358	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37005	Gm37005	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452	Gm15452	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm36964	Gm36964	1	1	1	4	4	3	5	2	3	2	0	2	0
Gm24276	Gm24276	0	0	0	0	0	0	0	0	0	3	0	0	0
Gm6152	Gm6152	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7445	Gm7445	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7493	Gm7493	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37629	Gm37629	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38008	Gm38008	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37143	Gm37143	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm6187	Gm6187	0	0	0	1	6	1	0	2	0	0	0	0	0
Gm18299	Gm18299	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7512	Gm7512	1	0	0	0	1	0	0	0	0	1	0	0	0
Gm24765	Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300	Gm18300	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	Rrs1	402	424	330	237	517	466	541	457	203	763	293	456	425
Adhfe1	Adhfe1	39	63	55	54	43	36	33	15	58	120	49	40	45
2610203C22Rik	2610203C22Rik	1104	1081	882	740	499	473	458	360	505	562	377	412	460
Gm6161	Gm6161	0	0	0	0	0	0	0	0	1	3	1	2	1
3110035E14Rik	3110035E14Rik	0	0	0	0	0	0	0	0	89	34	11	20	8
Gm29520	Gm29520	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	Mybl1	0	0	4	14	11	0	0	2	0	7	0	29	1
Vcpip1	Vcpip1	682	542	661	849	715	1055	489	675	679	2079	1789	2449	2482
1700034P13Rik	1700034P13Rik	0	0	5	0	1	0	8	1	0	1	8	9	1
Sgk3	Sgk3	2078	2211	2464	2364	1845	1428	1927	1774	717	2025	2567	2796	2352
Gm6195	Gm6195	0	2	1	1	0	0	2	0	0	0	3	3	2
Gm22607	Gm22607	0	1	0	0	0	0	0	3	3	0	0	4	2
Mcmdc2	Mcmdc2	4	0	0	2	0	0	0	0	1	40	5	12	4
Snhg6	Snhg6	27	21	17	147	86	55	31	70	68	36	45	63	28
Snord87	Snord87	0	0	0	28	0	0	0	0	0	0	3	1	7
Tcf24	Tcf24	21	1	0	0	0	76	7	1	1	0	90	35	15
E330040D14Rik	E330040D14Rik	0	0	0	0	0	0	0	2	0	0	1	0	0
Ppp1r42	Ppp1r42	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15818	Gm15818	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm24674	Gm24674	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	Cops5	1355	1428	1054	1116	2574	2343	1727	1387	939	2042	1552	1457	1646
Cspp1	Cspp1	123	169	162	146	244	212	176	193	564	896	140	471	331
1700047N06Rik	1700047N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	1
Arfgef1	Arfgef1	724	583	358	391	651	576	558	746	765	990	856	1358	1134
Gm26348	Gm26348	0	1	0	0	0	0	0	0	0	0	0	1	0
Gm37569	Gm37569	0	0	0	0	0	0	2	0	5	0	0	6	10
Cpa6	Cpa6	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm38005	Gm38005	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604	Gm15604	7	6	1	6	5	2	1	6	1	3	4	0	4
Gm25253	Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603	Gm15603	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37133	Gm37133	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5522	Gm5522	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28659	Gm28659	5	3	1	1	0	1	0	0	0	0	0	0	0
Gm22963	Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	Prex2	0	1	1	4	0	0	1	0	1	2	0	2	4
Gm24173	Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686	Gm28686	0	3	0	2	2	0	3	3	0	1	3	1	2
Gm37410	Gm37410	0	0	0	3	0	0	0	0	0	0	0	0	0
A830018L16Rik	A830018L16Rik	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm38178	Gm38178	0	0	2	0	0	0	0	0	3	1	1	0	1
Gm29273	Gm29273	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069	Gm38069	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7560	Gm7560	0	0	0	2	2	0	0	0	0	2	2	1	1
Gm22633	Gm22633	0	0	0	0	0	0	0	0	0	0	1	0	0
Mir6341	Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383	Gm2383	3	5	0	3	4	4	3	3	0	7	4	6	6
Gm6216	Gm6216	0	1	0	0	0	0	0	0	0	1	0	1	0
Gm17644	Gm17644	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663	Gm29663	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	Sulf1	0	0	0	1	0	0	0	0	1	0	1	0	1
Slco5a1	Slco5a1	0	0	0	1	1	0	0	0	2	0	0	1	0
Gm37162	Gm37162	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250	Gm5250	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	Gm29283	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	Prdm14	0	0	0	2	0	0	0	0	0	0	0	0	0
Ncoa2	Ncoa2	350	348	329	285	285	287	250	214	925	1130	770	1209	959
Gm38376	Gm38376	0	15	0	0	0	25	0	0	9	15	9	2	8
Gm37409	Gm37409	1	0	0	0	0	1	0	0	36	37	0	17	0
Gm27881	Gm27881	0	0	0	0	0	0	0	0	0	3	0	0	0
Gm38223	Gm38223	0	0	0	0	0	0	0	0	11	0	0	0	0
Gm37702	Gm37702	0	21	0	0	0	0	0	0	12	0	1	1	16
Gm23169	Gm23169	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38120	Gm38120	6	1	18	2	27	0	0	26	151	56	10	37	79
Gm38380	Gm38380	12	18	8	0	0	14	0	23	129	198	37	27	15
Gm29570	Gm29570	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7593	Gm7593	0	0	0	0	0	0	0	0	0	0	0	0	0
Tram1	Tram1	6826	6068	7017	7362	7956	7820	8596	7873	6402	16070	19778	26665	22800
Lactb2	Lactb2	591	447	478	657	923	749	751	512	333	554	1006	1006	1077
Gm38319	Gm38319	12	28	18	3	9	17	2	1	24	86	61	119	58
Xkr9	Xkr9	0	0	0	4	27	25	22	18	0	0	0	19	0
Gm26273	Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	Gm5523	2	1	0	2	9	7	6	2	2	7	6	9	5
Gm36947	Gm36947	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25491	Gm25491	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400	Gm37400	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	Eya1	0	0	7	16	0	0	0	0	0	1	1	0	1
Gm22616	Gm22616	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444	Gm37444	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9947	Gm9947	0	0	0	0	0	0	0	0	0	0	0	0	0
Msc	Msc	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37412	Gm37412	0	0	0	0	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	Smt3h2-ps4	1	0	0	0	1	0	0	0	0	0	1	0	0
Rpl5-ps1	Rpl5-ps1	0	1	1	1	4	1	0	0	0	0	0	0	0
Trpa1	Trpa1	0	0	0	0	0	0	0	1	1	0	0	0	0
Gm26345	Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566	Gm10566	0	1	0	0	2	1	1	0	0	4	1	2	1
Kcnb2	Kcnb2	0	0	0	2	0	0	0	0	0	0	0	0	0
Gm38116	Gm38116	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37138	Gm37138	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25227	Gm25227	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060	Gm6060	1	0	1	4	1	1	0	0	1	1	1	4	0
Gm28669	Gm28669	0	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	Terf1	239	366	247	296	360	342	321	288	531	716	514	604	728
Gm37509	Gm37509	0	0	0	0	0	0	0	0	0	0	0	0	0
Sbspon	Sbspon	3	0	0	0	1	0	0	0	0	0	0	0	0
Gm23259	Gm23259	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	Gm7634	0	0	0	1	1	5	0	0	0	1	2	1	2
4930444P10Rik	4930444P10Rik	0	0	1	13	0	0	0	0	2	0	0	0	0
Rpl7	Rpl7	1552	1629	1718	2233	2462	2088	1968	1669	1011	2040	1072	1219	1170
Rdh10	Rdh10	372	247	197	260	207	120	219	173	139	650	551	520	466
Gm38249	Gm38249	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28095	Gm28095	0	0	0	0	0	0	0	0	0	0	0	2	0
Stau2	Stau2	370	194	420	591	684	372	345	454	260	248	609	430	451
Gm7568	Gm7568	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w	Ube2w	1104	1183	1000	1561	1180	1002	900	765	410	1311	1173	1321	1059
Gm38342	Gm38342	1	1	0	2	3	0	33	7	0	50	16	3	4
Tceb1	Tceb1	2624	2616	2331	4195	5058	4211	4466	2614	1044	2147	1541	1985	1749
D030040B21Rik	D030040B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7654	Gm7654	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem70	Tmem70	416	331	311	524	693	782	657	698	950	1662	1446	1586	1588
Ly96	Ly96	1757	2076	1685	2333	1242	957	911	778	1595	2284	1413	1658	1493
Gm29649	Gm29649	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5828	Gm5828	1	0	2	0	1	5	3	3	0	0	1	1	1
Gm28376	Gm28376	0	0	0	0	0	0	0	0	0	0	0	0	0
4921511E07Rik	4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	Jph1	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm28783	Gm28783	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	Gdap1	0	0	0	3	0	0	0	0	0	0	1	0	1
Gm28784	Gm28784	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28785	Gm28785	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm5251	Gm5251	0	0	0	0	0	0	0	0	0	0	0	0	0
Rbm6-ps1	Rbm6-ps1	2	1	1	3	7	0	1	0	1	0	0	1	2
Gm6075	Gm6075	3	2	3	0	2	2	5	1	0	2	1	2	1
Gm25166	Gm25166	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	Pi15	0	0	0	4	0	0	0	0	2	0	0	0	0
Gm28154	Gm28154	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16070	Gm16070	1	0	0	0	0	0	0	0	0	0	0	1	0
Crispld1	Crispld1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28153	Gm28153	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7690	Gm7690	3	2	0	0	2	0	1	0	0	0	1	2	2
Gm18775	Gm18775	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969	Gm17969	0	0	0	0	0	0	0	0	0	0	0	0	0
RP24-571A14.6	RP24-571A14.6	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28755	Gm28755	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28756	Gm28756	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837	Gm17837	2	0	1	3	2	0	2	0	0	0	0	0	0
Gm29006	Gm29006	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm5252	Gm5252	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24075	Gm24075	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343	Gm28343	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm28344	Gm28344	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	Tfap2d	0	0	0	2	0	0	0	0	0	0	0	0	0
Gm10075	Gm10075	2	0	0	0	0	0	0	2	1	1	0	0	1
Tfap2b	Tfap2b	5	4	1	8	6	4	7	2	2	7	1	5	4
